"Zeitstempel","Wie oft benutzt Du elektronische Seekarten?","Wie nutzt Du elektronische Seekarten?","Welche elektronischen Seekarten sind interessant für Dich?","Was findet Ihr gut gelungen an kommerziellen Seekarten?","Was findet Ihr schlecht an kommerziellen Seekarten?","Wie oft aktualisierst Du Seekarten?","Möchtest Du die Seekarte dauerhaft ohne Einschränkungen besitzen und verwenden?","Findet ihr die Lizenzbedingungen für kommerzielle  Seekarte fair?","Findest Du den Preis für kommerzielle Seekarten für Apps angemessen?","Findest Du den Preis für kommerzielle Seekarten für Plotter angemessen?","Welche elektronische Seekarte verwendest Du?","Welche Daten sind Dir besonders wichtig in Seekarten?","Welche Funktionen sollten elektronische Seekarten können?","Was ist Dir besonders wichtig bei elektronischen Seekarten?","Möchtest Du sonst noch etwas mitteilen?"
"2025/10/31 5:53:50 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten","Preis;keine Nutzung nach Ablauf","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","O-Charts;Freie Seekarten;ANWB waterkaarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 5:56:04 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card","Regelmäßige Updates","Layout der Karten;Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten","Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","aktualität","nein"
"2025/10/31 5:56:37 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Farbigkeit","Layout der Karten;Funktionalität;Updatezwang;Herstellersupport;Preis;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);Raymarine;Freie Seekarten","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","Hervorhebung von Sperrzonen","Nutzung auf Plotter","nein"
"2025/10/31 5:59:38 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln;Bindung an einige wenige Hersteller/Software","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","NV-Charts;O-Charts;Freie Seekarten;Selbst erstellte oder eingescannte Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:00:30 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität","nein"
"2025/10/31 6:00:35 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Egal, kommt auf Kosten und Leistung an","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:03:39 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität","Herstellersupport;Preis","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist angemessen","C-Map","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten","onlineaktualisierung","nein"
"2025/10/31 6:03:50 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","  ","Jedes halbe Jahr","ja","ja","Ist zu teuer","Ist zu teuer","O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität und Genauigkeit (Tiefen, Seezeichen, ...)","Ich aktualisiere Seekarten vor jedem größeren Törn, also einmal im Monat oder öfter."
"2025/10/31 6:06:09 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Regelmäßige Updates","Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","C-Map","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:07:23 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Regelmäßige Updates","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;3D-Kontur am Tiefenmap;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:13:04 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ständige Anzeige des aktuellen Standortes auf der Karte, Orientierung per Blick auf die Karte (genau wie bei Papierkarten) ","Egal, Hauptsache gute Auflösung der Wassertiefen und allgemein aktuelle Informationen in der Karte ","Kann nicht allgemein beantwortet werden, da jeder Hersteller dies anders handhabt bzw. auch das Layout herstellerspezifisch ist. Layout von NV ist zb gut, Navionics schlecht, allerdings ist dies subjektiv ","Kann nicht allgemein beantwortet werden, da jeder Hersteller dies anders handhabt bzw. auch das Layout herstellerspezifisch ist. Layout von NV ist zb gut, Navionics schlecht, allerdings ist dies subjektiv  ","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","NV-Charts;O-Charts;Eniro / Skippo / Hydrografika ","Landgebiete;Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte","2D-Tiefenkontur;Einstellbare Tiefengrenze","Gutes Layout (zb wie nv Charts) ","Freie Karten würde ich nur verwenden, wenn der Erstellungsprozess absolut nachvollziehbar ist. Seekarten haben sehr viel mit Vertrauen in die Entscheidungen des Erstellers zu tun. Hier wäre ich ggü einem open source Projekt erst einmal vorsichtig. Die Idee ist super, es muss aber sehr gut und transparent dokumentiert sein, was die zugrunde liegenden Daten sind und wie diese aufbereitet werden. Die Fragen zu Lizenzbedingungen und zum Preis sind nicht pauschal zu beantworten. Da diese aber für die Umfrage beantwortet werden müssen, habe ich ""nein"" bzw ""angemessen"" gewählt. "
"2025/10/31 6:14:39 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","C-Map;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Aktualität & Preis","bei häufig wechselnden Revieren ist der Preis für die E-Seekarte zu hoch"
"2025/10/31 6:15:35 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt","Layout der Karten;Regelmäßige Updates","Herstellersupport;Preis","Ein Mal im Jahr","ja","ja","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);C-Map","Tiefenangaben;Tiefenlinien;Aktualitätsdatum der Seekarte","2D-Tiefenkontur;Einstellbare Tiefengrenze","Tiefenangabe und tiefendata von Hydrographica (Schweden)",""
"2025/10/31 6:19:21 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Lizenzregeln","Überhaupt nicht","ja","nein","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics)","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:24:01 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","NV-Charts;O-Charts;Selbst erstellte oder eingescannte Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einblendung von NMEA-Daten, Trackingfunktion","muss stabil und flüssig laufen (auch auf Low-Tech/alter Hardware)",""
"2025/10/31 6:26:13 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist angemessen","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Zusammenarbeit zwischen Plotter und iPad/iPhone; Vektorkarten, zoomen ohne Brüche; Aktualität","nein"
"2025/10/31 6:27:51 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Regelmäßige Updates;Herstellersupport","Layout der Karten;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers;Freie Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Zuverlässig bzw. aktuell","nein"
